# High Gain Weights: 4 10
# (Amplitude)  (Time) 
-0.990564 0.813232      0
-0.806484 1.74836       0
-0.43829 2.4249         0
0.0451181 2.67058       0
0.463887 3.01401        0
0.714 3.23898           0
0.887111 3.15779        0
1.05327 3.24712         0
1.32499 3.86809         0
1.44213 4.59276         0
2.06205 4.04486         0
2.45161 2.90439         0
2.6494 1.52572          0
2.66069 0.436417        0
2.55694 -0.362778       0
2.43585 -1.04956        0
2.34313 -1.55472        0
2.24881 -2.11859        0
2.03605 -2.86169        0
1.95231 -3.51744        0
1.6486 -3.72459         0
1.2416 -3.07972         0
0.925084 -2.32165       0
0.684032 -1.68812       0
0.589887 -1.32468       0
0.570156 -1.05064       0
0.561215 -0.620602      0
0.551184 -0.200923      0
0.562483 -0.388106      0
0.561862 -1.06923       0
0.511264 -0.720139      0
0.418279 -0.712441      0
0.378939 -0.269248      0
0.425153 0.0483749      0
0.467989 0.158911       0
0.512818 0.306459       0
0.533694 0.107538       0
0.515955 -0.211784      0
0.483112 -0.217814      0
0.463744 0.0214888      0
# Low Gain Weights: 4 10
# (Amplitude)  (Time) 
-0.461712  -0.478171    0
-0.508663  -0.456735    0
-0.550858  -0.358047    0
-0.615084  -0.230953    0
-0.655615  0.0171828    0
-0.593359  0.573597     0
-0.354573  1.15547      0
-0.0166319  1.26005     0
0.226452  1.52102       0
0.451298  1.45511       0
0.527201  1.27282       0
0.680384  1.38144       0
0.826361  1.26079       0
1.05602  1.22515        0
1.30687  1.29254        0
1.59171  1.40908        0
1.77973  0.952821       0
1.79484  0.245375       0
1.7262  -0.21442        0
1.62411  -0.484694      0
1.73426  -0.615484      0
1.64165  -0.907105      0
1.52898  -1.07112       0
1.30084  -1.29905       0
0.983446  -1.68008      0
0.532795  -2.19838      0
0.133827  -1.90033      0
-0.0392906  -1.02741    0
-0.0357089  -0.721406   0
-0.0139902  -0.385772   0
-0.414459  -0.200187    0
-0.406329  -0.0821537   0
-0.403955  0.0227461    0
-0.391219  0.127372     0
-0.347919  0.206207     0
-0.29191  0.277449      0
-0.234367  0.24775      0
-0.228396  0.104672     0
-0.238849  0.0733048    0
-0.245189  0.0500998    0

