# High Gain Weights: 4 10
# (Amplitude)  (Time)
-0.637443 -0.648763     0
-0.707555 -0.610204     0
-0.772465 -0.469694     0
-0.896081 -0.305143     0
-1.02783 0.00696361     0
-1.03684 0.731979       0
-0.73698 1.49428        0
-0.23419 1.57509        0
0.12767 1.83675         0
0.441087 1.70526        0
0.639658 1.50546        0
0.806192 1.58667        0
0.966865 1.41151        0
1.24058 1.34506         0
1.58293 1.39453         0
2.02092 1.46038         0
2.31508 0.8539          0
2.31705 0.051831        0
2.18497 -0.493294       0
2.01129 -0.749924       0
1.8675 -0.959329        0
1.75322 -1.25026        0
1.60962 -1.37231        0
1.3216 -1.58832         0
0.880364 -1.9924        0
0.219661 -2.50675       0
-0.35077 -1.96955       0
-0.553454 -0.855454     0
-0.491715 -0.387673     0
-0.38701 -0.0297507     0
-0.293549 0.092153      0
-0.278646 0.194742      0
-0.263716 0.25195       0
-0.221238 0.323789      0
-0.121941 0.381038      0
0.00379863 0.393009     0
0.0805122 0.201843      0
0.0443888 -0.0531952    0
-0.0199606 -0.175625    0
-0.0809393 -0.21419     0
# Low Gain Weights: 6 10
# (Amplitude)  (Time)
0.0446612 -0.385273     0
0.038191 -0.00418687    0
0.0386966 0.0212324     0
0.0402881 0.0744799     0
0.0415794 0.229615      0
0.0598731 0.44332       0
0.0758477 0.661518      0
0.101509 1.10641        0
0.159323 1.64997        0
0.497256 2.83685        0
0.245087 3.27499        0
0.140546 2.46177        0
0.58086 2.2849          0
0.632721 2.45587        0
0.72819 2.52835         0
0.889583 2.48099        0
0.980812 2.50031        0
1.09885 2.55892         0
1.21374 2.78769         0
1.61928 3.08069         0
1.38544 1.95583         0
1.31998 1.1792          0
1.50633 0.591226        0
1.50916 0.0793899       0
1.5008 -0.33188         0
1.47339 -0.575386       0
1.45362 -0.915309       0
1.40214 -1.31593        0
1.34175 -1.77904        0
1.0661 -2.05471         0
1.31087 -1.49798        0
1.33793 -1.34758        0
1.10172 -1.21719        0
1.08133 -1.09356        0
1.04007 -0.981455       0
0.976745 -1.08299       0
0.930979 -1.14774       0
0.874203 -1.18348       0
0.816708 -1.20126       0
0.587354 -1.92869       0
0.783078 -1.89621       0
0.792771 -1.03439       0
0.622278 -0.781807      0
0.61184 -0.745831       0
0.578792 -0.683741      0
0.537336 -0.596328      0
0.51443 -0.592858       0
0.482294 -0.560586      0
0.462351 -0.827587      0
0.317989 -1.05649       0
0.459672 -0.775035      0
0.468287 -0.619961      0
0.374182 -0.31635       0
0.376946 -0.225242      0
0.367075 -0.347444      0
0.340737 -0.393231      0
0.321054 -0.187384      0
0.320654 -0.225558      0
0.302148 -0.399499      0
0.232954 -0.607578      0
